MAG	Control
MEGAHIT-MetaBAT2-S975.160	184.049079547535
MEGAHIT-MetaBAT2-S975.180	538.707520597549
MEGAHIT-MetaBAT2-S976.157	670.523942935053
MEGAHIT-MetaBAT2-S976.24	588.440751805755
MEGAHIT-MetaBAT2-S976.28	2790.9871044718
MEGAHIT-MetaBAT2-S976.34	599.749793161945
MEGAHIT-MetaBAT2-S978.143	263.842830046193
MEGAHIT-MetaBAT2-S978.150	2021.3306640271
MEGAHIT-MetaBAT2-S978.92	480.337843368794
MEGAHIT-MetaBAT2-S979.51	719.957612097903
MEGAHIT-MetaBAT2-S979.62	842.825195252895
MEGAHIT-MetaBAT2-S979.94	2244.26397638753
MEGAHIT-MetaBAT2-S980.126	425.524275110345
MEGAHIT-MetaBAT2-S980.201	11.7037511422033
MEGAHIT-MetaBAT2-S980.38	325.778043726662
MEGAHIT-MetaBAT2-S980.41	512.955407714374
MEGAHIT-MetaBAT2-S980.86	717.868514889234
MEGAHIT-MetaBAT2-S981.125	1271.66045627208
MEGAHIT-MetaBAT2-S981.151	236.136588760206
MEGAHIT-MetaBAT2-S981.154	2462.10335663171
MEGAHIT-MetaBAT2-S982.27	869.047566689337
MEGAHIT-MetaBAT2-S982.57	418.352342200767
MEGAHIT-MetaBAT2-S983.160	2341.16007946531
MEGAHIT-MetaBAT2-S983.173	1113.9321022139
MEGAHIT-MetaBAT2-S983.18	452.557938572163
MEGAHIT-MetaBAT2-S983.2	340.2757667924
MEGAHIT-MetaBAT2-S983.24	348.605745946617
MEGAHIT-MetaBAT2-S983.33	772.218364595787
MEGAHIT-MetaBAT2-S983.51	1629.89125414745
MEGAHIT-MetaBAT2-S983.92	49.7257794449544
MEGAHIT-MetaBAT2-S984.21	1035.04696823665
MEGAHIT-MetaBAT2-S985.24	1854.83971993776
MEGAHIT-MetaBAT2-S985.50	2816.62703034128
MEGAHIT-MetaBAT2-S985.88	494.455405442224
MEGAHIT-MetaBAT2-S986.109	910.908152381534
MEGAHIT-MetaBAT2-S986.50	824.739131290493
MEGAHIT-MetaBAT2-S986.76	2595.18815680497
MEGAHIT-MetaBAT2-S986.81	750.252792748667
MEGAHIT-MetaBAT2-S987.11	554.192692041334
MEGAHIT-MetaBAT2-S987.67	360.59098732177
MEGAHIT-MetaBAT2-S987.82	209.207686624519
MEGAHIT-MetaBAT2-S988.125	46.8519731606058
MEGAHIT-MetaBAT2-S988.167	254.351741934324
MEGAHIT-MetaBAT2-S988.179	689.604898799581
MEGAHIT-MetaBAT2-S988.19	100.541773217724
MEGAHIT-MetaBAT2-S988.9	503.952792657295
MEGAHIT-MetaBAT2-S990.131	1635.96491689882
MEGAHIT-MetaBAT2-S990.160	571.769419604328
MEGAHIT-MetaBAT2-S990.184	459.489534928252
MEGAHIT-MetaBAT2-S992.120	21.8288134148701
MEGAHIT-MetaBAT2-S992.171	1523.24456904887
MEGAHIT-MetaBAT2-S993.109	1961.58672558526
MEGAHIT-MetaBAT2-S993.160	1359.78213461017
MEGAHIT-MetaBAT2-S993.96	1793.77956228235
group10_bins.111	236.354086338667
group10_bins.149	600.935857883992
group10_bins.221	334.198659509138
group10_bins.232	489.309045347153
group10_bins.307	426.140559544308
group10_bins.334	541.036150234794
group10_bins.379	157.103022536203
group10_bins.399	518.67872366432
group10_bins.56	990.349751909881
group10_bins.7	1809.56422656482
group3_bins.116	211.182600360077
group3_bins.117	155.445963360907
group3_bins.134	1097.19207977554
group3_bins.177	720.539412962597
group3_bins.182	1237.01387428141
group3_bins.183	590.834187653172
group3_bins.185	271.226711839792
group3_bins.187	906.655292893091
group3_bins.202	1250.88974771048
group3_bins.206	350.587495867461
group3_bins.223	445.789772963129
group3_bins.240	4.72682851444703
group3_bins.288	230.114298555639
group3_bins.292	568.188846811633
group3_bins.32	345.067254249769
group3_bins.323	343.147172573298
group3_bins.358	298.426766884347
group3_bins.371	347.511361267517
group3_bins.377	460.727101244412
group3_bins.39	359.43980957277
group4_bins.141	2043.4787271575
group4_bins.149	420.313796389711
group4_bins.196	796.253392369748
group4_bins.25	2553.08510886196
group4_bins.261	537.795686524144
group4_bins.272	743.844305445635
group4_bins.297	137.928096793221
group4_bins.47	1732.36853406994
group6_bins.106	303.909571464146
group6_bins.205	1037.62733180304
group6_bins.237	551.22231868527
group6_bins.257	756.361308409613
group6_bins.275	546.853083077581
group6_bins.304	989.210275764382
group6_bins.56	500.413304715227
group6_bins.67	291.566217264631
group6_bins.9	302.641025975583
group7_bins.133	516.866358056344
group7_bins.169	810.936506301482
group7_bins.175	513.793866771614
group7_bins.185	330.886867396747
group7_bins.209	620.169257756453
group7_bins.231	974.335206742586
group7_bins.260	862.256870215742
group7_bins.281	171.538442877662
group7_bins.282	1552.98177723668
group7_bins.351	800.701641552217
group7_bins.365	534.760010811977
group7_bins.369	660.09453037783
group7_bins.370	747.54501467629
group7_bins.394	449.089521673117
group7_bins.409	575.636674503343
group7_bins.41	349.744714649062
group7_bins.426	703.636646335086
group7_bins.83	775.77477451777
group8_bins.111	632.129670607156
group8_bins.151	283.503592348304
group8_bins.18	2738.69917258505
group8_bins.259	415.613922190485
group8_bins.266	71.6351710421743
group8_bins.276	569.521892755531
group8_bins.283	113.790042982853
