DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum_Colors
COLOR	#ff0000
COLOR_BRANCHES	1
LEGEND_TITLE	Phylum	Colors
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c	#d62728	#e0ba1d	#dd3cf6	#9467bd	#8c564b	#e377c2	#7f7f7f	#bcbd22	#17becf	#aec7e8	#ffbb78	#98df8a	#ff9896	#c5b0d5	#c49c94	#f7b6d2	#dbdb8d
LEGEND_LABELS	Spirochaetota	Bacillota_A	Bacteroidota	Bacillota_I	Methanobacteriota	Thermoplasmatota	Elusimicrobiota	Bacillota	Pseudomonadota	Myxococcota	Verrucomicrobiota	Desulfobacterota	Actinomycetota	Bacillota_C	Fibrobacterota	Bacillota_B	Patescibacteria	Eremiobacterota	Cyanobacteriota	Planctomycetota
LEGEND_POSITION_X	100
LEGEND_POSITION_Y	180
SHOW_LABELS	0
SHOW_STRIP_LABELS	0
STRIP_WIDTH	7
DATA
MEGAHIT-MetaBAT2-S967.21	#c49c94	Eremiobacterota
MEGAHIT-MetaBAT2-S983.92	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S958.173	#ffbb78	Bacillota_C
935_SemiBin_76	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S973.81	#ff7f0e	Bacillota_A
967_SemiBin_89	#ff7f0e	Bacillota_A
group7_bins.175	#ff7f0e	Bacillota_A
983_SemiBin_133	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S933.63	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S960.200	#d62728	Bacillota_I
group8_bins.322	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S958.137	#f7b6d2	Cyanobacteriota
969_SemiBin_466	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S973.204	#ff7f0e	Bacillota_A
932_SemiBin_102	#ff7f0e	Bacillota_A
group7_bins.365	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S975.180	#ff7f0e	Bacillota_A
972_SemiBin_102	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S957.37	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S964.113	#1f77b4	Spirochaetota
group3_bins.292	#ff7f0e	Bacillota_A
956_SemiBin_187	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S953.47	#ff7f0e	Bacillota_A
group6_bins.275	#ff7f0e	Bacillota_A
991_SemiBin_141	#2ca02c	Bacteroidota
973_SemiBin_32	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S986.81	#ff7f0e	Bacillota_A
group7_bins.169	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S979.51	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S969.165	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S965.170	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S946.20	#ff7f0e	Bacillota_A
960_SemiBin_428	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S955.109	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S967.229	#ffbb78	Bacillota_C
MEGAHIT-MetaBAT2-S973.219	#2ca02c	Bacteroidota
group9_bins.67	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S932.23	#ff7f0e	Bacillota_A
group8_bins.259	#98df8a	Fibrobacterota
MEGAHIT-MetaBAT2-S933.139	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S964.51	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S962.117	#8c564b	Bacillota
973_SemiBin_47	#dbdb8d	Planctomycetota
MEGAHIT-MetaBAT2-S990.131	#2ca02c	Bacteroidota
946_SemiBin_374	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S946.155	#ff7f0e	Bacillota_A
group3_bins.39	#ff7f0e	Bacillota_A
948_SemiBin_209	#ff7f0e	Bacillota_A
970_SemiBin_149	#8c564b	Bacillota
MEGAHIT-MetaBAT2-S943.132	#ff7f0e	Bacillota_A
970_SemiBin_233	#d62728	Bacillota_I
group3_bins.185	#ff7f0e	Bacillota_A
group3_bins.117	#2ca02c	Bacteroidota
group7_bins.409	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S966.83	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S951.163	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S964.264	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S979.94	#ff7f0e	Bacillota_A
945_SemiBin_23	#ff7f0e	Bacillota_A
983_SemiBin_309	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S937.157	#ff7f0e	Bacillota_A
941_SemiBin_237	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S935.62	#ff7f0e	Bacillota_A
968_SemiBin_131	#ff7f0e	Bacillota_A
992_SemiBin_233	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S933.133	#ff7f0e	Bacillota_A
group7_bins.260	#2ca02c	Bacteroidota
964_SemiBin_111	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S978.150	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S935.50	#bcbd22	Verrucomicrobiota
MEGAHIT-MetaBAT2-S961.20	#ff7f0e	Bacillota_A
group10_bins.7	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S969.89	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S938.66	#ff7f0e	Bacillota_A
group3_bins.206	#ff7f0e	Bacillota_A
937_SemiBin_159	#ff7f0e	Bacillota_A
932_SemiBin_237	#2ca02c	Bacteroidota
953_SemiBin_322	#2ca02c	Bacteroidota
976_SemiBin_228	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S981.151	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S983.18	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S946.6	#aec7e8	Actinomycetota
MEGAHIT-MetaBAT2-S968.197	#e0ba1d	Methanobacteriota
MEGAHIT-MetaBAT2-S946.44	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S962.93	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S975.132	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S970.119	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S946.102	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S947.97	#ff7f0e	Bacillota_A
961_SemiBin_68	#e377c2	Pseudomonadota
950_SemiBin_52	#ff7f0e	Bacillota_A
958_SemiBin_114	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S973.125	#8c564b	Bacillota
MEGAHIT-MetaBAT2-S960.208	#ff7f0e	Bacillota_A
group9_bins.202	#2ca02c	Bacteroidota
983_SemiBin_151	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S945.140	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S992.171	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S969.185	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S987.11	#ff7f0e	Bacillota_A
group9_bins.392	#ff7f0e	Bacillota_A
group3_bins.377	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S947.47	#d62728	Bacillota_I
