X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P38	15.3086748123169	16.0772819519043	15.8610048294067	0	15.6765356063843	15.3541927337646	0	16.2959957122803	16.345760345459	15.0596857070923	0	0	16.523738861084	0	0	15.4084281921387	16.2819061279297	15.3043804168701	15.0465726852417	0	15.5112056732178	0	16.3549919128418	15.555962562561	15.5160675048828	15.7722330093384	15.2511510848999	15.5092086791992	15.7356882095337	0	15.8551425933838	15.9838762283325	15.8770542144775	0	15.5339336395264	15.6317796707153	16.9035491943359	16.6379528045654	15.9219350814819	15.6090488433838	0	15.1308755874634	15.8468780517578	0	0	15.0861349105835	0	16.0583610534668	15.9484395980835	15.2048864364624	14.6141748428345	15.0666074752808	15.8087072372437	15.5038595199585	16.029899597168	14.733081817627	15.4429054260254	15.2844085693359	15.8875503540039	16.3168239593506
P39	0	0	0	0	0	0	0	0	0	0	0	0	14.8933153152466	0	14.7334976196289	0	0	0	0	0	0	0	15.9494657516479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7768392562866	0	0	0	0	0	0	0	0
P40	14.6165285110474	0	0	16.5587425231934	0	14.8819904327393	15.5621938705444	0	16.4678802490234	16.2784385681152	15.8809432983398	0	16.430606842041	0	16.3490467071533	0	15.6681623458862	16.0864791870117	0	0	15.9134874343872	0	0	0	0	0	0	0	15.174337387085	0	15.3278503417969	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4933032989502	0	0	16.2847385406494	15.4780292510986	15.0982246398926	0	16.8156204223633	0	0	0	0	14.9492568969727	0	14.8495826721191	15.0939712524414
P41	0	0	0	0	0	0	0	0	0	15.0127925872803	0	0	0	0	0	0	0	14.3149852752686	0	0	0	0	0	0	0	13.9555444717407	0	0	0	0	0	0	15.0191116333008	0	0	0	0	0	0	0	0	14.0207004547119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3641443252563
P42	0	15.197078704834	0	0	0	0	0	15.179726600647	0	0	0	0	14.1468772888184	0	14.7459363937378	16.0268535614014	0	0	0	0	0	0	0	14.6850166320801	15.2708673477173	14.4562377929688	0	15.2120342254639	0	0	14.5211181640625	15.1653547286987	15.3437881469727	0	14.6922664642334	0	15.718846321106	14.8707513809204	0	0	0	15.9448213577271	15.0424003601074	0	15.0660934448242	0	0	14.1832933425903	0	0	0	0	0	0	14.2881565093994	0	0	0	0	0
P43	14.8996543884277	15.825119972229	14.9916191101074	15.3758401870728	15.5788679122925	14.559136390686	14.9648008346558	15.3964357376099	14.9476251602173	15.0088386535645	15.5054759979248	14.9889497756958	15.9935007095337	15.1148338317871	15.5688314437866	15.6632318496704	15.4565620422363	14.7030601501465	14.5561695098877	14.8940114974976	14.8726482391357	0	15.0389766693115	14.836597442627	13.7573575973511	15.4630641937256	14.2775630950928	15.8645515441895	14.7466526031494	0	14.7261543273926	16.1583309173584	15.381929397583	15.1187162399292	15.0508804321289	15.4327611923218	15.8308038711548	15.1773881912231	15.3565740585327	15.5020093917847	0	15.8196392059326	15.9242944717407	0	15.0798587799072	14.1517992019653	14.7744312286377	14.9652547836304	14.9653787612915	14.7510395050049	14.2337694168091	14.8970680236816	14.7790098190308	14.7924003601074	14.7747497558594	13.5847129821777	13.9719104766846	14.0578718185425	13.9354944229126	14.9755764007568
P44	0	14.8204164505005	0	0	13.9513807296753	15.4483871459961	0	0	14.9703016281128	0	14.7776460647583	0	14.4951467514038	0	15.1372785568237	0	0	15.0746593475342	0	14.8822374343872	0	0	0	0	0	0	0	14.7096300125122	0	0	0	15.4636211395264	0	14.7448272705078	0	0	0	14.7771711349487	14.7582368850708	0	0	0	14.7092409133911	0	0	15.1534900665283	0	0	0	0	0	0	0	14.4830694198608	0	0	0	0	0	0
P45	0	0	0	0	0	0	0	0	14.8359212875366	14.3028554916382	0	0	0	0	13.3164024353027	0	13.7011547088623	14.2878313064575	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7051620483398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.462742805481	0	0	0	0	0	0	0	14.5199909210205
P48	0	15.2086668014526	14.638370513916	14.4404973983765	14.3751773834229	0	14.4454975128174	15.2370433807373	14.6022272109985	14.2674446105957	15.2792253494263	14.8254280090332	15.3047876358032	0	16.145471572876	15.5981378555298	14.5894250869751	15.6555614471436	14.649073600769	14.6864166259766	15.1579360961914	14.5277500152588	14.6484680175781	14.2319297790527	14.8659286499023	15.6832580566406	14.8299779891968	15.9861965179443	14.9202241897583	0	14.9684267044067	16.7104625701904	15.3463401794434	15.8612699508667	0	0	15.7975873947144	15.5889835357666	15.4096908569336	15.4285936355591	0	15.3343448638916	15.6436805725098	0	14.2549448013306	0	13.8970203399658	14.6581363677979	15.85546875	13.4242134094238	13.905086517334	14.3670492172241	14.6204738616943	0	14.072416305542	0	15.2274312973022	0	14.2995910644531	15.5370149612427
P51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9766893386841	0	0	15.3267784118652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5164432525635	0	15.4245109558105	0	15.5092973709106	14.7180080413818	14.816593170166	0	0	0	0	0	0
