"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K01190"	15.121877554176	17.6720555807699	2.55017802659384	0.0259134577216063	0.252536831478572	1.58647463374429	"p < 0.05 & |FC| > 1"
"K01224"	10.4570946367772	13.7169128889279	3.25981825215074	0.0582753311317359	0.261198359179745	1.23451525005488	"p < 0.1 & |FC| > 3"
"K01274"	12.8639457405616	14.5682081584268	1.70426241786522	0.29002597372896	0.408969210145893	0.537563106438848	"Not significant"
"K01277"	10.5814989707135	13.4605377914396	2.87903882072608	0.111554392114677	0.283276160214032	0.952513326020061	"Not significant"
"K01499"	8.17883866566625	4.27485204792016	-3.90398661774609	0.0523183873979511	0.252536831478572	1.28134565067317	"p < 0.1 & |FC| > 3"
"K01515"	8.04187157817768	6.92493404132743	-1.11693753685024	0.574037927849493	0.649024864370373	0.241059411937272	"Not significant"
"K01519"	9.21827304140562	7.73064246599832	-1.4876305754073	0.449584487388853	0.547794690944671	0.347188682220241	"Not significant"
"K01524"	5.66510505862597	8.24402969162591	2.57892463299993	0.221106424640363	0.345140831099976	0.655398638039466	"Not significant"
"K01577"	14.8110310546773	12.5849702083645	-2.22606084631281	0.275388314159868	0.397046666473645	0.560054492559715	"Not significant"
"K01591"	13.9616617549186	16.6447152174327	2.68305346251411	0.0250200785039657	0.252536831478572	1.6017113319813	"p < 0.05 & |FC| > 1"
"K01626"	11.4526083415119	13.9919978840056	2.5393895424937	0.146200385156576	0.308470806047967	0.835051483252609	"Not significant"
"K01652"	14.5612516623517	16.9544786209799	2.39322695862817	0.0820745975821172	0.270925719198526	1.08579123797169	"Not significant"
"K01661"	11.8390033339773	13.3944265421928	1.55542320821546	0.371752922371405	0.473654738655953	0.429745608778337	"Not significant"
"K01685"	9.54777331055472	11.7126202289397	2.16484691838496	0.253408991962569	0.377186901194537	0.596177978677365	"Not significant"
"K01686"	15.9428696201279	15.6634269846109	-0.279442635517009	0.830030698055457	0.860899608313718	0.0809058452750702	"Not significant"
"K01695"	11.5484392101318	12.2037255442751	0.655286334143316	0.704811205378294	0.759991677850796	0.151927199948908	"Not significant"
"K01719"	11.3037158982145	14.3170384613594	3.01332256314499	0.0687414362110536	0.263194944126611	1.16278139841323	"p < 0.1 & |FC| > 3"
"K01735"	7.28205192262712	11.4321609223601	4.15010899973297	0.0291157332990805	0.252536831478572	1.53587226742325	"p < 0.05 & |FC| > 1"
"K01738"	14.6539709689698	17.1854331172422	2.53146214827247	0.0433842331379375	0.252536831478572	1.36266807475719	"p < 0.05 & |FC| > 1"
"K01745"	8.01890671988331	12.4127429527187	4.39383623283539	0.0226894933068101	0.252536831478572	1.64417520250702	"p < 0.05 & |FC| > 1"
"K01783"	12.4279600145921	10.7847770697333	-1.64318294485879	0.358539246258864	0.46494267714217	0.445463298850376	"Not significant"
"K01798"	9.09400344556094	8.41199170164131	-0.682011743919631	0.745843013527357	0.78930239302939	0.127352574046708	"Not significant"
"K01807"	11.4529420771168	10.8288888426831	-0.624053234433735	0.748422189406354	0.78930239302939	0.125853344910832	"Not significant"
