"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00010"	"X983"	373163.26274805	"C8"	"stress"	"M"
"K00010"	"X984"	480577.514854585	"C8"	"stress"	"F"
"K00010"	"X985"	464086.693457056	"C8"	"stress"	"F"
"K00010"	"X986"	507741.814676926	"C7"	"control"	"F"
"K00010"	"X987"	446859.693825564	"C7"	"control"	"F"
"K00010"	"X988"	22016.1165521466	"C7"	"control"	"F"
"K00010"	"X989"	71222.5874170577	"C7"	"control"	"M"
"K00010"	"X990"	155892.204215583	"C7"	"control"	"F"
"K00010"	"X991"	85600.2475523817	"C7"	"control"	"M"
"K00010"	"X992"	205446.619504017	"C7"	"control"	"M"
"K00010"	"X993"	405330.660336084	"C7"	"control"	"M"
"K00012"	"X932"	626140.324554982	"C6"	"stress"	"F"
"K00012"	"X933"	174864.479488067	"C6"	"stress"	"M"
"K00012"	"X934"	296945.240159805	"C6"	"stress"	"F"
"K00012"	"X935"	464632.072039285	"C6"	"stress"	"M"
"K00012"	"X937"	565451.400305884	"C6"	"stress"	"M"
"K00012"	"X938"	743669.79886772	"C6"	"stress"	"F"
"K00012"	"X939"	413068.908850587	"C6"	"stress"	"M"
"K00012"	"X940"	313248.769779001	"C5"	"control"	"M"
"K00012"	"X941"	717553.242829255	"C5"	"control"	"F"
"K00012"	"X942"	416561.879392541	"C5"	"control"	"F"
"K00012"	"X943"	151896.871056167	"C5"	"control"	"F"
"K00012"	"X944"	306305.628302078	"C5"	"control"	"M"
"K00012"	"X945"	463048.585441868	"C5"	"control"	"M"
"K00012"	"X946"	454672.44438756	"C5"	"control"	"F"
"K00012"	"X947"	325539.189489395	"C5"	"control"	"M"
"K00012"	"X948"	245380.713700368	"C4"	"stress"	"M"
"K00012"	"X949"	107697.210916166	"C4"	"stress"	"F"
"K00012"	"X950"	240580.423201116	"C4"	"stress"	"M"
"K00012"	"X951"	158792.071342322	"C4"	"stress"	"F"
"K00012"	"X952"	273753.008712652	"C4"	"stress"	"M"
"K00012"	"X953"	262685.871399077	"C4"	"stress"	"M"
"K00012"	"X954"	168462.495634601	"C4"	"stress"	"F"
"K00012"	"X955"	289535.062690949	"C3"	"control"	"M"
"K00012"	"X956"	106747.468578921	"C3"	"control"	"F"
"K00012"	"X957"	197420.325998148	"C3"	"control"	"F"
"K00012"	"X958"	129155.540386233	"C3"	"control"	"F"
"K00012"	"X959"	208635.563667117	"C3"	"control"	"M"
"K00012"	"X960"	108430.634931054	"C3"	"control"	"M"
"K00012"	"X961"	661504.687990009	"C3"	"control"	"M"
"K00012"	"X962"	174232.119494324	"C3"	"control"	"F"
"K00012"	"X963"	402136.257702438	"C10"	"stress"	"M"
"K00012"	"X964"	100587.658868388	"C10"	"stress"	"M"
"K00012"	"X965"	115540.40458986	"C10"	"stress"	"F"
"K00012"	"X966"	92880.4614971598	"C10"	"stress"	"F"
"K00012"	"X967"	64028.114687274	"C10"	"stress"	"F"
"K00012"	"X968"	54714.713550652	"C10"	"stress"	"F"
"K00012"	"X969"	50696.1666376426	"C10"	"stress"	"M"
"K00012"	"X970"	170827.446350721	"C9"	"control"	"F"
"K00012"	"X971"	180579.254165067	"C9"	"control"	"M"
"K00012"	"X972"	77744.7017207669	"C9"	"control"	"F"
"K00012"	"X973"	227990.851464427	"C9"	"control"	"F"
"K00012"	"X974"	82229.751899814	"C9"	"control"	"F"
"K00012"	"X975"	177835.6803749	"C9"	"control"	"M"
"K00012"	"X976"	0	"C9"	"control"	"M"
"K00012"	"X978"	388897.733838932	"C8"	"stress"	"M"
"K00012"	"X979"	416495.224758229	"C8"	"stress"	"M"
"K00012"	"X980"	410018.886180169	"C8"	"stress"	"F"
"K00012"	"X981"	405566.138334021	"C8"	"stress"	"M"
"K00012"	"X982"	440519.753001615	"C8"	"stress"	"F"
"K00012"	"X983"	487026.043790859	"C8"	"stress"	"M"
"K00012"	"X984"	434373.800158741	"C8"	"stress"	"F"
"K00012"	"X985"	172220.682092665	"C8"	"stress"	"F"
"K00012"	"X986"	386560.97729328	"C7"	"control"	"F"
"K00012"	"X987"	213658.270774544	"C7"	"control"	"F"
"K00012"	"X988"	219220.039622758	"C7"	"control"	"F"
"K00012"	"X989"	406100.034566577	"C7"	"control"	"M"
"K00012"	"X990"	539099.591882775	"C7"	"control"	"F"
"K00012"	"X991"	494569.84302329	"C7"	"control"	"M"
"K00012"	"X992"	423813.572443973	"C7"	"control"	"M"
"K00012"	"X993"	373642.654907094	"C7"	"control"	"M"
"K00013"	"X932"	11620.0198518892	"C6"	"stress"	"F"
"K00013"	"X933"	22220.2819173825	"C6"	"stress"	"M"
"K00013"	"X934"	5859.25848064995	"C6"	"stress"	"F"
"K00013"	"X935"	0	"C6"	"stress"	"M"
"K00013"	"X937"	18237.8834198537	"C6"	"stress"	"M"
"K00013"	"X938"	0	"C6"	"stress"	"F"
"K00013"	"X939"	27021.0418609168	"C6"	"stress"	"M"
"K00013"	"X940"	115753.890455221	"C5"	"control"	"M"
"K00013"	"X941"	26548.5127315146	"C5"	"control"	"F"
"K00013"	"X942"	44017.0609405278	"C5"	"control"	"F"
"K00013"	"X943"	68317.4481703284	"C5"	"control"	"F"
"K00013"	"X944"	86449.1164623674	"C5"	"control"	"M"
"K00013"	"X945"	21070.5702920584	"C5"	"control"	"M"
"K00013"	"X946"	0	"C5"	"control"	"F"
"K00013"	"X947"	31601.7891759588	"C5"	"control"	"M"
"K00013"	"X948"	12061.5714729863	"C4"	"stress"	"M"
"K00013"	"X949"	76498.8446129405	"C4"	"stress"	"F"
"K00013"	"X950"	30188.413655947	"C4"	"stress"	"M"
