code_protein	Protein	Association	Loading_Value	Description	comp1	comp2	comp3
P32990	MEGAHIT-MetaBAT2-S973.125_contig_3453348_5	stress	0.0301038608636691	rank: E	0.0301038608636691	0.0139274005116161	0.0182621230656245
P26501	MEGAHIT-MetaBAT2-S958.133_contig_3010862_1	stress	0.0300928740769508	rank: C;cysteinyl-tRNA synthetase [EC:6.1.1.16] (db=kegg)	0.0300928740769508	-0.0373325711543898	-0.00175692851170612
P16869	MEGAHIT-MetaBAT2-S932.72_contig_1470561_2	stress	0.0300674679608466	rank: C;large subunit ribosomal protein L5 (db=kegg)	0.0300674679608466	-0.0508184289941671	0.0147916663768596
P24219	MEGAHIT-MetaBAT2-S951.173_contig_4789217_1	stress	0.0300356286188149	rank: C;fructose-1,6-bisphosphatase III [EC:3.1.3.11] (db=kegg)	0.0300356286188149	-0.0510681123156322	0.00652377889832603
P25716	MEGAHIT-MetaBAT2-S956.75_contig_5804995_1	stress	0.0300276736611124	rank: C;small subunit ribosomal protein S8 (db=kegg)	0.0300276736611124	-0.0186418755766545	-0.0235474858942535
P40361	group4_bins.25_contig_1062582_1	stress	0.0299913549352193	rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)	0.0299913549352193	-0.017483384132794	0.0194668926880917
P38593	MEGAHIT-MetaBAT2-S993.96_contig_3638033_6	stress	0.029961928374317	rank: C;arabinogalactan oligomer / maltooligosaccharide transport system permease protein (db=kegg)	0.029961928374317	-0.0357207366335821	-0.019677094367582
P31903	MEGAHIT-MetaBAT2-S970.191_contig_2451152_6	control	-0.0299602776036229	rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	-0.0299602776036229	0.0238322474248456	0.0076698285700538
P24089	MEGAHIT-MetaBAT2-S951.173_contig_4789118_3	stress	0.0299282886600149	rank: C;Fe-S cluster assembly ATP-binding protein (db=kegg)	0.0299282886600149	-0.00803406244701792	0.0338225214712623
P21620	MEGAHIT-MetaBAT2-S947.8_contig_60727_3	stress	0.0299275380676936	rank: E	0.0299275380676936	0.0458299283705572	0.0071714611402944
P15861	992_SemiBin_233_contig_1712904_19	stress	0.0299250177761333	rank: E	0.0299250177761333	-0.022347258255373	-0.0534039208518236
P32259	MEGAHIT-MetaBAT2-S971.50_contig_3457663_8	control	-0.029908957575738	rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	-0.029908957575738	-0.0192453771891641	-0.046176669545699
P39626	group3_bins.202_contig_5016361_2	stress	0.0299060245446051	rank: C;L-lactate dehydrogenase complex protein LldG (db=kegg)	0.0299060245446051	0.00310972347420012	0.0140700520505431
P13773	983_SemiBin_309_contig_1221239_87	stress	0.0298997722385687	rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	0.0298997722385687	-0.00549093816084999	0.0354243486029892
P36450	MEGAHIT-MetaBAT2-S983.33_contig_5576658_36	stress	0.0298909887894953	rank: C;oleate hydratase [EC:4.2.1.53] (db=kegg)	0.0298909887894953	-0.00736373589290951	0.000766329508499735
P6677	956_SemiBin_215_contig_4668609_31	stress	0.0298766228640213	rank: C;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (db=kegg)	0.0298766228640213	-0.00544167054473774	-0.0199182442172202
P28952	MEGAHIT-MetaBAT2-S964.154_contig_4541799_4	stress	0.0298476236597494	rank: E	0.0298476236597494	0.0229063369619584	-0.0153502186029099
P38625	MEGAHIT-MetaBAT2-S993.96_contig_3638085_35	stress	0.0298368358464109	rank: C;small subunit ribosomal protein S7 (db=kegg)	0.0298368358464109	-0.0323449032344687	0.00586101798712991
P20287	MEGAHIT-MetaBAT2-S945.152_contig_4851873_6	stress	0.0298149823943095	rank: C;small subunit ribosomal protein S12 (db=kegg)	0.0298149823943095	-0.0301900971772516	-0.0141545091646488
P15513	992_SemiBin_233_contig_1712830_6	stress	0.0298049294302494	rank: C;molecular chaperone DnaK (db=kegg)	0.0298049294302494	-0.0087691115799211	-0.0730133614564838
P35439	MEGAHIT-MetaBAT2-S979.94_contig_4634429_18	stress	0.0298034983037933	rank: C;basic membrane protein A and related proteins (db=kegg)	0.0298034983037933	-0.0294684558064036	-0.000458959614034723
P30757	MEGAHIT-MetaBAT2-S967.229_contig_6869651_6	stress	0.0297973607131237	rank: C;aminotransferase [EC:2.6.1.-] (db=kegg)	0.0297973607131237	-0.043718019295322	0.0215208854276024
P15371	991_SemiBin_49_contig_4970644_7	stress	0.0297861679331707	rank: E	0.0297861679331707	0.00918337494696216	-0.0391169871268942
P30844	MEGAHIT-MetaBAT2-S967.229_contig_6869676_6	stress	0.0297734870999796	rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)	0.0297734870999796	-0.0290680384905222	0.0239759221793529
P30173	MEGAHIT-MetaBAT2-S967.21_contig_2745031_8	stress	0.0297417627862938	rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	0.0297417627862938	-0.00696737688826453	-0.0256451821755917
P33064	MEGAHIT-MetaBAT2-S973.125_contig_3453381_8	stress	0.0297337346879958	rank: E	0.0297337346879958	0.00603664286948341	0.00611583006703315
P30754	MEGAHIT-MetaBAT2-S967.229_contig_6869650_4	stress	0.0297133181520723	rank: C;serine protease Do [EC:3.4.21.107] (db=kegg)	0.0297133181520723	-0.020336798230108	0.041571981458318
P23695	MEGAHIT-MetaBAT2-S951.163_contig_4275111_1	stress	0.0297112254337552	rank: E	0.0297112254337552	-0.0349675810164195	-0.0269598267265397
P13240	983_SemiBin_151_contig_1974825_9	stress	0.029708775154187	rank: C;large subunit ribosomal protein L10 (db=kegg)	0.029708775154187	-0.00146611492381067	0.00967913204699147
P9436	967_SemiBin_89_contig_4060566_8	stress	0.029705373234097	rank: C;beta-glucosidase [EC:3.2.1.21] (db=kegg)	0.029705373234097	-0.0248749006205992	0.00234235933609425
P23440	MEGAHIT-MetaBAT2-S950.5_contig_1514792_3	stress	0.0296933597995885	rank: D;Fimbrillin-A associated anchor proteins Mfa1 and Mfa2 [PF08842.15] (db=pfam)	0.0296933597995885	-0.00600262880454036	0.029789232823221
P39979	group4_bins.141_contig_3115351_1	stress	0.0296898130773381	rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	0.0296898130773381	-0.0177219363866535	0.0232931620088027
P9810	968_SemiBin_313_contig_7005537_138	stress	0.0296882195070083	rank: C;AI-2 transport system substrate-binding protein (db=kegg)	0.0296882195070083	0.011473789836295	-0.0186674555750968
P793	932_SemiBin_237_contig_3195460_34	control	-0.0296593193098548	rank: C;large subunit ribosomal protein L18 (db=kegg)	-0.0296593193098548	-4.09273843268921e-05	-0.00853145748279936
