X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P26	123333.787504653	139316.903588222	172309.627171274	0	107652.941421011	145018.924383313	137247.792182182	159295.431631392	63550.0861517077	68450.2853937416	65502.6074803654	0	0	0	44062.6312172583	101929.948666082	152488.192747846	85586.3848267198	145899.113074061	107321.976104591	94567.7311456159	0	150479.486560312	0	84734.4362109722	47630.7648259681	60835.7407925493	99025.8879513286	116835.70502878	114588.198161769	74199.9479412218	0	41974.3583181406	0	0	53852.3089125124	55219.9526710841	0	69966.1694732211	61462.0690638098	0	49769.1265546651	51633.9235319776	0	92353.4841290746	123012.659252977	67650.3932189583	52630.0271410657	94853.7209026693	96911.7826509145	85144.4286880459	58125.1042942527	109220.426002726	97263.8661277975	0	174761.007644803	100062.661433295	170302.14082117	115191.362744898	51731.6673438801
P28	0	0	0	19050.1785493594	0	0	0	0	11656.4861205749	0	27336.1515298218	0	0	0	23135.2278656459	51895.0765276844	67493.2531916565	83309.2747973655	0	73129.0676703876	24096.5273487498	0	25853.0302417667	26393.0071832767	39875.6202028226	34042.962521663	14905.1324594468	30136.2320289194	0	0	24602.8257933867	39999.9392878349	39323.5348345712	36327.9242503124	35907.4405225286	34778.1744342506	36600.7349787434	47113.1708269514	68088.6255344391	29261.5884402173	0	0	73091.3714134545	42323.1591387066	64328.4934153006	34525.4751649237	49413.8063880085	75393.9839974137	41925.5250021333	54850.5483053328	67371.2954622707	55278.5701344029	84377.9400841389	90513.3642535822	46995.7816218318	40047.2445085658	51789.8683544955	44860.064475057	45634.2366867633	83158.9580055045
P29	0	15587.7841903502	16425.2724934705	0	0	0	25546.4767674547	21151.9156678939	0	0	0	0	0	0	0	0	0	0	60820.219915913	19589.8301470536	61645.04807704	0	0	0	0	0	0	34690.2583800602	20150.7089462492	0	0	0	0	0	0	0	21401.688629032	0	0	0	0	0	0	0	0	0	0	0	0	32455.2035890002	0	0	27264.9935133363	0	0	0	0	22825.0684436634	0	0
P31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18763.7503555765	0	0	0	0	12328.5212327334	0	0	0	0	0	0	0	0	0	0	0	0	0	15966.1461334287	0	0	0	0	0	0	0	0	0	0	27822.8903537071	0	0	0	0	0	0	0	0	0	33709.638311705
P32	37851.9575424299	0	50589.2100558722	62172.8427752474	48379.6532334653	0	60669.1187850827	78077.0627947272	69715.5732220131	66272.8548408685	76198.1452959827	49422.3325156391	55518.7639457565	0	120676.479463053	23875.8959300201	55648.7602831805	64539.9694036025	74053.3387054882	67611.9454730105	31854.1812772478	44149.4277157752	0	50365.1825229933	18436.3590778938	26992.7700417105	47730.6159819773	0	72425.6307170339	40566.2940141026	113728.67963663	0	31755.8088065997	48183.9443491513	0	0	49826.173567983	0	68393.3868844366	0	0	0	0	0	113255.58867816	25896.1666666421	91041.3056415015	57341.2709968682	83708.1660460818	53764.1328685586	46333.8743136095	106887.546831455	93201.6635173564	44508.2113827652	56635.4311958273	75367.4747431405	104020.179443126	36647.8718565217	103411.642453751	114647.296056307
P33	0	0	0	46746.0869432635	7451.92582270353	0	0	23799.2671986913	45095.3325246709	0	44005.230165321	0	0	0	57579.5407431069	0	42592.31232787	118951.030095563	0	23021.0102987639	0	0	12429.2110698654	0	0	0	0	0	24734.0294746979	0	0	0	0	39039.5120339002	0	21308.8015477182	0	16604.2527199083	42949.7970336909	0	0	0	50739.4169407291	0	23648.8883514275	0	45892.3393367419	50458.6566728284	0	108696.656915638	0	61905.1296205179	47548.4380269784	0	0	0	0	0	15397.5762216188	75091.079547025
P34	21338.3601603402	13201.5815712993	9729.67954907385	0	9799.44848089422	0	21930.9547504212	19335.1882810259	71517.798626238	90448.2897317186	37616.837852451	46269.6299040354	95166.1128825849	90083.2354186431	44837.3255090267	11348.8892348761	51734.7451230241	16259.0194869547	9632.52220478366	14251.0201831159	54379.4135397699	7066.05742379116	10317.8465199701	17190.1549595308	7370.19691294937	0	18742.7505409042	16049.2544362431	20830.2514091299	21712.6484557973	65921.6536767949	0	0	0	0	17099.2509557436	0	0	13893.1572171993	0	0	8761.47564871178	0	0	74356.3823646394	19501.0552328957	9517.25973140987	14066.696312523	51289.763037509	25252.1534903167	60211.3371319422	19815.4715051754	25719.1887753208	17787.2049812592	17434.4012793664	75077.2814629319	18297.0168679004	79338.2098829701	57410.9441929239	38762.4087850366
P37	64640.1351206817	0	69315.6050439613	128092.07291871	37880.3175567288	76080.1699836058	81006.8122199591	66940.1579782575	108264.248861617	148090.426247946	58060.2059773676	62731.8146413298	154036.633317813	48877.4826246911	98799.0029581404	0	72971.7421824064	77209.8815378021	27591.4210961943	37972.9293733338	0	0	62278.7616065996	34852.9250300402	0	0	33852.1507758241	0	66015.846427656	56718.1548686176	80519.5999175333	0	0	0	0	0	0	0	0	0	63569.7073536684	0	0	0	84334.8912933481	42540.7634408883	77281.3685990826	76501.3685888999	92816.4154428555	45590.9390026281	78531.2205071526	107979.788004762	60670.161511355	26454.6311309099	35583.3001171162	62093.573191986	80367.3036957064	70021.2288680136	38304.5288596263	98902.1155344311
P38	40585.4450198558	69142.346828022	59516.6139347118	0	52372.9992759464	41886.3552779085	0	80460.6466499848	83284.4967645884	34152.0771683117	0	0	94219.552608241	0	0	43490.9677785002	79678.6800685214	40464.8160562618	33843.0667246721	0	46702.2900289103	0	83819.1291975324	48173.8485278129	46859.9405968111	55964.8358679941	38999.0425492859	46637.6889369796	54564.999239444	0	59275.2652589614	64807.6377617175	60182.4081014373	0	47443.855680024	50773.2035839466	122595.729061383	101981.844035838	62084.0512203509	49979.4998339008	0	35879.5851105069	58936.6750503593	0	0	34783.968308207	0	68241.4676165154	63235.1718367986	37768.2531197915	25078.6982256363	34316.3258457424	57397.7767967183	46465.0880078257	66908.3940895551	27233.2551919479	44542.8245888505	39908.5037350469	60621.853986188	81630.6859129506
P39	0	0	0	0	0	0	0	0	0	0	0	0	30432.2907672294	0	27241.1052736821	0	0	0	0	0	0	0	63280.1654616352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56143.8063495454	0	0	0	0	0	0	0	0
